	id	qid1	qid2	question1	question2	is_duplicate
11942	11942	23043	23044	Do Mexican and Indian food have much in common?	How come Indian and Mexican cuisines are somewhat similar?	1
11969	11969	23096	23097	What is power dynamics?	What are power dynamics?	1
12010	12010	23172	23173	Love warning songs model name?	Uri attack?	0
12015	12015	23180	23181	Can machine learning be used for financial time-series forecasting?	How does one apply deep learning to time series forecasting?	0
12057	12057	23260	14354	How do you determine the Lewis dot structure for sulfate?	How can you determine the Lewis dot structure for sulfur?	0
12065	12065	23274	14318	Where can I get designer collection of affordable floor tiles in Sydney?	Where can I found large collections of ceramic and porcelain wall and floor tiles in Sydney?	1
12207	12207	23533	23534	What is critical radius of insulation?	What is the motive of critical radius of insulation for cylinder?	0
12235	12235	23587	23588	Where can I get best services in property transactions across the Sydney?	Where can I get quality support to make a successful property transaction process in Sydney?	1
12334	12334	23774	23775	What is atomic number?	What is atomic number of oxygen?	0
12388	12388	1920	23873	How can I gain healthy weight and mass?	What are my nutritional needs in order for a healthy weight gain and muscle mass?	0
12498	12498	17019	24077	What is the reaction between ammonia and sulfuric acid?	What is the reaction between sulfuric acid and sodium hydroxide?	0
12500	12500	24080	24081	How intelligent is the Night King?	Are The White Walkers intelligent?	0
12512	12512	24104	24105	How can I stop my male pattern baldness?	How close are we to curing male pattern baldness?	0
12558	12558	24190	24191	What can you do to get gel nail polish dry without an UV light?	Can I use any full cover fake/acrylic nails for UV gel?	0
12664	12664	24384	24385	What does this Arabic text mean in english?	What does this Arabic script text mean in English?	0
12753	12753	24546	24547	Why is alternating current better for long-distance power transmission than direct current?	Why is high voltage AC used in power transmission lines instead of DC and/or higher current?	0
12772	12772	24581	24582	How do I learn statistics for data science?	How do I learn Statistics for Data Science from scratch?	0
12818	12818	24660	24661	Is driving with bad wheel bearing dangerous?	What is a bad wheel bearing?	0
12841	12841	24701	24702	Is it safe to apply aloe vera gel on the face overnight?	Can we use aloe vera gel that comes in a bottle?	0
12868	12868	24751	24752	Can onion juice help for regrowth of hair?	Is onion juice mixed shampoo good for hAir growth?	1
12936	12936	24877	24878	What is the best reverse osmosis water purifier in india?	How does a reverse osmosis water purifier work?	0
12953	12953	24911	24912	What martial art should I learn?	Which martial art should I learn?	1
12955	12955	24915	24916	Where can I find a component to RCA adapter?	What are the best RCA to component adapter?	0
13041	13041	25071	25072	Which is a suitable inpatient drug and alcohol rehab center near Coweta County GA?	Which is a suitable inpatient drug and alcohol rehab center near Upson County GA?	0
13133	13133	25241	25242	Voltage sensitive self balancing bridge?	What is voltage sensitive self balancing bridge?	1
13156	13156	25286	25287	Does formic acid give test reaction for aldehyde as well?	Formic acid is a stronger acid than acetic acid. Why?	0
13186	13186	25343	25344	What is a suitable inpatient drug and alcohol rehab center near Habersham County GA?	What is a suitable inpatient drug and alcohol rehab center near Worth County GA?	0
13198	13198	25367	25368	Are asexual men just suffering from low testosterone?	Is asexuality caused by low testosterone?	1
13240	13240	25442	25443	How many stars are on the American flag?	How many stars in flag of united states?	1
13253	13253	25464	25465	Is there a site like Free Code Camp for databases?	Is there a site like Free Code Camp for C++?	0
13261	13261	25478	25479	Who is the best skin specialist in Bangalore?	Who is best skin specialist in Mumbai?	0
13288	13288	25530	25531	How do I stop white hair growing?	What should be done to stop white hair and beard from growing?	0
13293	13293	25540	25541	Can a sex reassignment surgery be reversed?	Is sex reassignment surgery reversible?	1
13311	13311	25574	25575	Who is the best orthopedic surgeon in NYC?	Who's the best orthopedic surgeon in Pune?	0
13372	13372	25690	25691	How can I make vanilla ice cream?	How can we make vanilla ice cream more interesting?	0
13400	13400	25737	25738	What are the best drop shipping niche?	What is the best niche for drop shipping?	1
13420	13420	25774	25775	Does vitamin d causes excess hair fall?	Does vitamin D deficiency cause hair loss?	1
13433	13433	25798	25799	Does masturbation causes low sperm count?	Can frequent masturbation (once in a day) for several months lower the sperm count?	1
13464	13464	1305	25854	Where can I get super high quality photos for any photo booth services in Sydney?	Where can I get the best quality photo booths in Sydney?	1
13465	13465	25855	25856	What is a magnetic drilling machine?	What is a radial drilling machine?	0
13471	13471	25866	25867	What is prison psychology?	What is prison like?	0
13520	13520	25953	25954	What is the function of DNA ligase in DNA replication?	What is the ligase's function in DNA replication?	1
13564	13564	26032	26033	How much money one can make by trading stock?	How much money can one make through stock trading?	1
13893	13893	26644	26645	Why does North Korea hate The United States of America?	Why does North Korea hate The United States?	1
13912	13912	26681	26682	How can you determine the atomic radius of niobium?	How can the atomic radius of niobium be determined?	1
13921	13921	26696	26697	Where can I find a shop in Bangalore which sells high end hair wax or clay?	Will hair wax damage my hair?	0
13982	13982	8283	26805	Where can I get best domestic and commercial window cleaning service in Sydney?	Where can I get best services for dusting & window cleaning in Sydney?	1
14024	14024	5894	26881	Can you get pregnant one day before ovulation?	Can you get pregnant 16 days after your period?	1
14090	14090	27007	27008	What is hexavalent chromium used for?	What is chromium nitrate used for?	0
14184	14184	18531	27186	What are the best ways to reduce and eliminate belly, abdominal, and thigh fat?	Whats the best way to reduce belly fat?	1
14205	14205	27224	27225	What is raman scattering used for?	What is raman scattering?	0
14229	14229	27268	27269	Why is kinetic energy zero in uniform circular motion?	Is centripetal acceleration zero for a uniform circular motion?	0
14302	14302	27405	27406	What daily diet should I follow to gain weight?	Which foods help gain weight?	1
14380	14380	27551	27552	What factors affect the demand for crude oil?	What factors affect crude oil rate?	1
14420	14420	27623	27624	Which is the best website for learning data structures or algorithm?	Which is the best website for learning data structure?	0
14440	14440	27658	27659	How does birth control make you lose weight?	Can birth control make you lose weight?	0
14472	14472	27712	27713	Does masturbation reduces memory?	Does masturbation cause loss of memory?	1
14518	14518	25072	27795	Which is a suitable inpatient drug and alcohol rehab center near Upson County GA?	Which is a suitable inpatient drug and alcohol rehab center near Montgomery County GA?	0
14548	14548	27849	27850	How hair grow after hair transplant surgery?	Is hair transplant surgery painful?	0
14552	14552	27856	27857	Who are Martin Luther and Martin Luther King Jr?	Who assassinated Martin Luther King Jr. And why?	0
14600	14600	27949	27950	a small bar magnet is being slowly inserted with constant velocity inside a solenoid. Plot a graph between emf induced with time.	Does an assumed ball-shaped tiny single electron spinning with a constant angular velocity without accelarating produce any magnetic Field?	0
14624	14624	27996	27997	What cognitive radio technology are in commercial use?	Where do cognitive radio distinction come from?	0
14658	14658	28061	28062	Which is a good inpatient drug and alcohol rehab center near Jasper County IN?	Which is a good inpatient drug and alcohol rehab center near Jasper County IA?	0
14749	14749	28228	28229	In what areas is India leading?	In what positive areas does India rank first globally?	1
14772	14772	28272	28273	When does your head stop growing?	When does the human head stop growing?	0
14935	14935	28569	28570	Cold World War 3 has began?	Can Cold War begin again?	1
14941	14941	28581	28582	Are there any health benefits to drinking one's own urine?	Is it safe to drink one's own urine?	1
14987	14987	28664	28665	What is the correct time to have sex to get a child?	What is the correct time to have sex without getting pregnant?	0
15042	15042	28765	28766	Which part of spider plant bears bud?	Which part of the spider plant bears buds?	1
15134	15134	28937	28938	How can you determine the chemical formula for anhydrous copper sulfate?	How can you determine the chemical formula for magnesium and copper sulfate?	0
15136	15136	28941	28942	How we lose belly fat india?	How do I get rid of belly fat and thigh fat?	1
